channel_handle,channel_name,subscribers,n_videos,total_views,median_views,max_views,mean_duration_sec,top_video_title
@AETV,A&E,11800000.0,150,9915578,25558,682513,1819,"Kidnapping Ends in Murder—and a Manhunt for Four Suspects (S1, E7) | Murder at the Motel | Full Ep"
@WatchMojo,WatchMojo.com,25900000.0,150,5538023,22446,690548,1287,Top 10 Funniest Moments From the Kevin Hart Netflix Roast
@tseries,T-Series,,150,113318109,27067,26665233,324,"PATI PATNI AUR WOH DO (Trailer): Ayushmann, Wamiqa, Sara, Rakul | Mudassar, Bhushan K, Juno | 15 May"
@ElUniversalMex,El Universal,6510000.0,150,2080743,4830,289067,246,OMS declara como emergencia de salud pública internacional el brote de ébola en el Congo y Uganda
@ARTEde,ARTEde,,150,10398055,39482,737172,1216,Bangladesch: Im Bordell von Daulatdia | ARTE Reportage Reupload
@VeoPR,VeoPR,42600.0,150,1267785,1946,124416,709,TOMMY se convirtió en MICHAEL JACKSON | Men And The City | Raymond Y Sus Amigos | 12 mayo 2026
@EurovisionSongContest,Eurovision Song Contest,7830000.0,150,98392746,216583,11002796,451,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026
@eltrece,eltrece,14600000.0,150,1147816,2278,154938,836,"OTRO DÍA PERDIDO - Programa 18/05/26 - MARÍA O'DONNELL, UNA PERIODISTA A LAS CORRIDAS"
@FTReview,FT Review,84300.0,150,1692753,10526,30607,125,Unfamiliar Review || Unfamiliar (2026) Series Review || Faheem Taj
@Testbook,Testbook,4090000.0,150,2227156,7570,127116,2610,UPSI Expected Cutoff 2025 | UPSI Cut Off 2026 Category Wise | UPSI Cutoff Analysis by Testbook
@cuetadda247,Adda247 CUET,1400000.0,150,2319644,7030,296162,714,CBT Mode Exam Live Demo | CUET Computer Based Test | CUET 2026 Exam CBT Mode पर कैसे होता है ?
@SaturdayNightLive,Saturday Night Live,17100000.0,150,225986716,1268338,7633499,291,Hegseth and Patel Iran Press Briefing Cold Open - SNL
@SIMPLEDANCEFiTNESSTV,SIMPLE DANCE FITNESS TV,,150,2270877,3124,528698,1169,BUKSAN MO - DANCE REMIX | VIRAL TIKTOK | NONSTOP DANCE | EASY DANCE | EASY ZUMBA | VIRAL DANCE HITS
@RickyGutierrezz,Ricky Gutierrez,1240000.0,150,1958383,11833,65904,526,RUMOR: Trump Hospitalized at Walter Reed - Market Reaction
@penguinz0,penguinz0,,150,305469613,1738261,7492067,778,This Weirdo Got Cooked
@brasilparalelo,Brasil Paralelo,,149,10509586,19928,1163689,1087,Veja o momento em que Senado rejeita indicação de Messias ao STF
@esRadiovideos,esRadio,856000.0,149,2343036,9427,128869,1894,Isabel Díaz Ayuso entrevistada en 'Es la Mañana de Federico'
@JoBloAnimatedVideos,JoBlo Animated Videos,5490000.0,148,51369448,63650,5672863,341,ALL the Cute Action Scenes in ANGRY BIRDS 🔥 4K
@suaratimurr,SUARA TIMUR OFFICIAL ,,148,2720571,4080,419946,281,BALASAN LU KENAL VERONIKA KO? UPREMIX TERBARU
@AngryJoeShow,AngryJoeShow,3240000.0,148,14903234,73345,669551,1944,Top 10 WORST Games of 2025!
@Telefe,Telefe,7860000.0,147,3830030,11837,532580,1518,¿Quién viajará a Roland Garros? Comienza CAMINO a PARÍS con Damián Betular | Ep 01 [10-05-2026]
@FeatherLes,FeatherLes,509000.0,147,8031,43,300,3167,WE SEE HUGGY WUGGY'S PAST?? | Poppy Playtime: CHAPTER 5
@thepsychology-t8e,The Psychology,16400.0,146,657455,1361,86912,2123,10 Common Habits That Are Clear Signs of Autism (Psychology Explains)
@BrutFR,Brut,,145,15766416,49329,751735,1034,La face cachée de Coachella Valley
@pivot00,PIVOT 公式チャンネル,,145,14067862,60454,487344,1981,"【ビリオネアの投資哲学】田村耕太郎氏が明かす超富裕層の知らない世界／手土産にジェット機？オフレコ会議で話されること／投資の鉄則は""みにくいアヒルの子""探し【PIVOT TALK SPECIAL】"
@ゆっくり戦国史録,ゆっくり戦国解説所,,145,132351,399,18275,1395,【ゆっくり解説】日本の謎の祟り神....夜刀神の謎！！
@LuckiestBalls,Luckiest Balls,,145,915778,1320,367146,167,Say the Word on Beat CHALLENGE | 67 song meme | six seven meme song | TikTok mashup 2026 | 67
@KawaiiBeth,KawaiiBeth,29700.0,144,2267781,7451,183794,608,How To Get ALL 16 Personalities in Tomodachi Life: Living The Dream! (American Version)
@LaweenDow,Laween Dow Tarot,,144,1398176,9463,24358,2087,AMOUR AVRIL 2026  🌟 les 12 Signes du zodiaque ✨horoscope sentimental
@AirplayBeats,Airplay Beats,98100.0,144,2210490,11950,56050,455,Steve Earle - Copperhead Road (REACTION) #steveearle #airplaybeats #reaction
@enminutos,ENMINUTOS,3640000.0,144,33107044,154177,952944,2054,MONARCH: El legado de los Monstruos (TEMPORADA 2) RESUMEN EN MINUTOS
@arte,ARTE,,143,11832952,32614,2271639,1702,"Bangladesh : Daulatdia , la ville des prostituées | ARTE Reportage (2017)"
@bouldifeloto345,BOUL DIFE LOTO345,,143,1812218,12391,44096,569,Conseil financier 💼 : Comment gérer vos gains du 23 Mars | 3 boul cho 🔥
@FilmsActu,FilmsActu,,143,17785520,71928,1987778,140,SPIDER-MAN : BRAND NEW DAY Bande Annonce VF (2026)
channel/UCbA1eOkmGA6uFQwmvacInkQ,Aarzoo Khaan,93400.0,142,24283464,38832,2107560,362,Khush Raho – Aarzoo Khaan | Emotional Hindi Sad Song | New Song 2026 | Arijit Singh Vibe
@BlatterteigRezepte,Blätterteig Rezepte,,142,4659004,14078,402343,166,"Hast du Blätterteig? Niemand glaubt, wie einfach dieser Trick ist! Cremige Dreiecke, Blitz-Rezept!"
@BusinessToday,Business Today,,142,841155,1340,133005,346,PM Modi’s Italy Visit | From Summits To Social Media: Why ‘Melodi’ Keeps Breaking The Internet
@megaoficial,MEGA Oficial,10200000.0,142,3829454,14104,391669,626,"Felipe Olivero lidera nuevo capítulo de ""Hay equipo detrás de la gloria"""
@RashidFarooquiVlogs,Rashid Farooqui Vlogs,38000.0,141,976901,4628,41894,999,Ramadan in Mumbai 🇮🇳 - Iftar Mahaul in Asia’s Largest Slum Dharavi!
@CanalTop10,Canal Top10,,141,23603535,79994,1280943,1821,O VERDADEIRO motivo da NASA ir à Lua HOJE | Artemis 2
@agp1333,Agp1333,287000.0,141,6021072,20686,291328,3091,EL JUEGO de TERROR de MR. JÄGGER y MAXO | OH DEMON! Fix my TV
@CGInferno,CGInferno,132000.0,141,1675115,5212,105514,10534,Resident Evil Requiem - Final Boss Fight & Endings (Bad & True)
@48hours,48 Hours,2450000.0,140,84689949,274648,4733908,2980,The Gaslighting of Hannah Pettey | Full Episode
@WissenschaftderNacht,Wissenschaft der Nacht,,140,277053,988,30645,5534,"Quantencomputer bestätigen ""ERSCHRECKENDES"" über die Realität : | Dokumentation zum Einschlafen"
@aaron.freeman,Aaron Freeman,312000.0,138,2661047,11859,169680,871,HONEST REACTION to BTS - 'Body To Body'
@DRAGBOX,DRAGBOX,,138,17865848,122581,445229,2604,PROVANDO OVOS VIRAIS com @divadepressao
@shurkou3,even more shurkou,18200.0,138,344938,2324,7865,3865,"Wake up honey, the best Strategy Roguelike of 2026 already dropped"
@ajimurachannel,ajimura channel,27900.0,137,259832,800,13535,2717,熱狂ライブ、新たなる悪夢への招待【東京ディバンカー】#138
channel/UCs6nmQViDpUw0nuIx9c_WvA,ProgrammingKnowledge,1870000.0,137,2008010,6405,170017,1349,How to Install Claude Code on Windows 11 | How to Set Up Claude Code (2026)
@rickyedit,rickyedit,3570000.0,136,68308047,469392,1240947,2420,Therians.
@MGGamersmg,MG Gamers,633000.0,136,3286259,23897,37753,1131,14 Feburary 2026🔥 FREE FIRE NEW EVENT | UPCOMING UPDATE IN FREE FIRE | TONIGHT UPDATE OF FREE FIRE
@Music_MBN,MBN MUSIC,,135,13926618,42304,1463688,654,[히트곡 미션] 성리 - 오늘 이 밤｜무명전설 11회
@MetaCreatorChannel,Meta Creator,632000.0,135,23824112,19139,8744277,626,DIY Mini Tractor Builds Underground Tunnel & Brick Bridge | Construction Science Project
@TyroneMagnus,Tyrone Magnus,2029999.0,135,3371752,19185,154604,419,Asmongold - Christopher Nolan is F'd - Reaction!
@EntertainmentTonight,Entertainment Tonight,7650000.0,134,3705065,11275,407869,207,Reese Witherspoon and Ryan Phillippe REUNITE for Son Deacon's NYU Graduation
@FoxmaidenOxB,Foxmaiden,12900.0,132,8921,32,690,3263,"#1 Me Impressinou! Um Survival de Grind, Loot, Raridade e Forja! - Grind Survivors"
@PushkarRajThakurOfficial,Pushkar Raj Thakur: Stock Market Educator 📈,15100000.0,130,21670501,139892,553725,984,Silver & Gold Crash Reasons | Why Silver Fall 27% in 1 Day?
@GoldenLandMelodies-u3g,Golden Land Melodies,17000.0,130,6475309,5972,1354904,315,မချစ်နဲ့တော့ l Lo-fi Remix
@ALGREACTS,ALG REACTS,114000.0,128,3114344,9468,145283,1142,"(DISCOVERING ARIJIT SINGH) GEHRA HUA, APNA BANA LE, & TUM HI HO|REACTION"
@afreendastarkhwan,Afreen Dastarkhwan,138000.0,127,3969750,22343,330370,1312,कुकर में बनाए बाजार जैसा तंदूरी चिकन | Ramzan Iftar Recipe | Pressure Cooker Tandoori Chicken | 2026
@RealKatieB,KatieB,367000.0,127,14446422,68681,572480,6688,Larray Helps Me Become an LA BADDIE..
@IBMTechnology,IBM Technology,1690000.0,125,5679528,17249,752729,1215,Is RAG Still Needed? Choosing the Best Approach for LLMs
@macaroni_recipe,macaroni | マカロニ,,124,1373480,7888,66293,315,【カニカマコールスロー】作り置きレシピ！包丁いらずの簡単副菜♪
@JoeBartGames,Joe Bart Games,1930000.0,122,96152947,652054,3439429,4630,Minecraft Horror Films Are Actually Scary...
@hannerVODs,hanner VODs,16500.0,122,350942,1915,48712,10376,Resident Evil Requiem Is Out and It’s Incredible 👀💥- (Full Playthough)
@yogiboltahai,YOGI BOLTA HAI,,121,65038568,510033,1646544,301,The RajaSaab Movie Review | Yogi Bolta Hai
@tiomarcoresumenes,Marco,581000.0,120,5846166,32113,268454,3506,🌍(1-3) GAMER SE CONVIERTE EN EL MAESTRO DE LOS MONSTRUOS
@Nin10doland,Nin10doland,391000.0,120,5363385,34784,249644,795,New LEAKED Info Just Dropped for the Next Mainline Zelda Game and It's WILD...
@cbc_3puncooking,キユーピー3分クッキング【CBCテレビ公式】,,118,2376951,12658,199187,399,中華そば（2026年1月31日放送）【３分クッキング公式】
@LucasClashON,Lucas Clash ON,7690000.0,117,62874117,483737,1895454,908,CONSEGUI O BRAINROT MAIS VALIOSO NO TSUNAMI BRAINROT
@Malviyaacademy1.0,Malviya Academy ,675000.0,116,524177,1226,71544,959,How to Fill Photo Mismatch certificate in CUET UG 2026 Application Form ? Step by Step Process
@ironboy1203,癒しのあいろん雑学ゲーム実況,152000.0,116,865108,5087,58072,2720,#1【4K超高画質】バイオハザード レクイエム 解説攻略【ラクーン事件生存者への呪い】
@olenastarodubets,Olena Starodubets,,114,11860319,76388,1625771,2175,Pernas e Glúteos para Iniciantes | 20 Min Leves para Começar em Casa – PLUMA - Treino 1
channel/UCOjD18EJYcsBog4IozkF_7w,PyData,172000.0,114,42407,113,14871,1982,Sergei Nasibian-Detecting Regime Shifts in Time Series with Python_ Entropy- PyData Global 2025
channel/UCRVrRdzKQ5jEpOBMmMbW-Tw,Sonic Music,,113,18089698,73409,1905269,214,SONIC MUSIC - Liar (Eurodance 2026)
@supereasyrecipe,Super Easy Recipes,149000.0,111,1696172,5482,275984,731,3-Ingredient Crispy Oven Chicken That Tastes Fried!
@Geschichte_ohne_Mythen,Geschichte ohne Mythen | Der Zweite Weltkrieg,,110,1612782,10234,95663,1725,Der vergessene Kessel von Halbe: Die größte Tragödie der Wehrmacht
@warpzonetv,WarpZone TV,14300.0,110,132250,326,15723,363,Vivi pra ver Symphony of the Night no Super Nintendo
@wallacetaaa,wallacetaa,38300.0,106,801612,6623,48517,2640,Esse NOVO JOGO DE PESCA é o mais SATISFATÓRIO que ja joguei! Scale the Depths
@SoloFonseca,Solo Fonseca,1310000.0,106,65026031,552902,1494791,1702,CUBA ESTÁ A PUNTO DE CAER y Trump ya tiene la excusa perfecta - @SoloFonseca
@TeoríaDelPopcorn,Teoría Del Popcorn,10900.0,106,6122822,27000,353509,6877,"La Propuesta 2009 Pelicula completa en español explicada, reseña y hechos"
@PhoneInk,PhoneInk,253000.0,106,1101622,810,196149,1770,Omelette Man's Cookie Song - Dark Pals: The 1st Floor
@CliffBeatsClassics,Cliff Beats Classics,224000.0,105,14560842,109806,519701,861,WE DIDN’T KNOW! WOW… | Michael Jackson - They Don't Care About Us | First Time Reaction
@kohmagame,コーマ,118000.0,105,2644344,21561,51747,1785,話題の海賊オープンワールドサバイバルクラフト最新作【Windrose】
channel/UCmKm7HJdOfkWLyml-fzKlVg,Afrojack,2600000.0,104,2433235,1506,1377824,2321,AFROJACK LIVE @ ULTRA MUSIC FESTIVAL MIAMI 2026
@HigherPlainGames,Higher Plain Games,11700.0,101,24087,150,2212,511,Pretend Cars Racing 2 - Early Access Review | Superb Value 2D Racer!
@uszw,牛沢,1830000.0,101,35578907,261923,1281468,2612,ネズミとなった俺たちがレストランを開業し、お客様をキレさせるまでの話【Restaurats】
@StaceyRPGReacts,StaceyRPG ,371000.0,101,8127365,70033,240360,823,"CHILLS!!! First Time Reaction to Skid Row - ""I Remember You"""
@jbnoticias-panamericana,JB Noticias en Panamericana,71100.0,101,6159982,27764,974963,818,'Plata como cancha' César Teacuña ahora busca streamers para su campaña
@cabbage_games,キャベツの人【ゲーム紹介】,430000.0,100,20105249,189275,678900,1634,【緊急】大手Youtuberさんゲーム開発のためにクラファンで5000万集めるもチーム解散→全く開発されていないと判明し「詐欺的と評価せざるを得ない」認定される。流石にヤバい状況で絶望【なるにぃさん】
@hotohorror,ほとんどホラーゲーム実況ですが何か?,26900.0,100,924970,7583,59447,4963,#1【HumanitZ】正式リリース…！終末世界で本気の生存1日目【ホラーゲーム サバイバル ヒューマンイットジー】
@JsVibesMusic,JsVibes Music,56500.0,100,3740726,6109,791548,5779,🐻Trending Spotify Playlist 2026 ~ Healing English Songs🧡|| Acoustic Chill & Positive Vibes Music
@9to5Google,9to5Google,416000.0,100,4419177,39100,168784,1498,Google is redesigning things.
@PlaqueBoyMaxLive,PlaqueBoyMaxLive,1780000.0,99,14510695,115779,833187,2391,"SONG WARS: RISING STARS EDITION ft. Tezzus, Slayr, 1300SAINT & more!"
@GrayStillPlays,GrayStillPlays,8560000.0,99,29791008,217963,3518257,1398,I had 15 minutes to destroy the planet
@SleeplessScientistStories,Sleepless Scientist Stories,7240.0,99,554254,1280,104635,7714,Parallel Worlds Exist? Here’s the Evidence
@AhoraVeremos,Ahora Veremos ,377000.0,99,7999979,57451,406208,1619,SILLENT HILL: EL PUEBLO DONDE NADIE SALE VIVO | RESUMEN COMPLETO
@BBCNewsBrasil,BBC News Brasil,,98,15685472,75234,908116,735,Por que os EUA não conseguem controlar o Estreito de Ormuz
@lantanch,ジャック・オ・蘭たん,676000.0,98,24844443,230984,734061,2505,ポケモンたちと夢のメタモン生活｜ぽこあポケモン #1
@NatyGlossGym,NatyGloss Gym,2820000.0,98,2921184,18601,296971,1372,LA MEJOR RUTINA DE ABDOMINALES DE PIE para Reducir Cintura y Aplanar Abdomen 20 Min | NatyGlossGym
@NuitsdeSavoir,Nuits de Savoir,,97,676870,2427,64248,5185,Ibn Khaldûn : pourquoi les civilisations meurent (la théorie qui dérange) | Histoire pour dormir
@AMAZINGCarloBalingit,AMAZING Carlo Balingit - BMD CREW,,97,5110309,15568,476700,2029,🔥Hawak mo ang Beat by DJ Mogo | Tiktok Viral 2026 | Merengue Remix Dance Workout  | BMD Crew
@TheKristianHarloff,Kristian Harloff,223000.0,95,2361853,17760,171380,2297,PROJECT HAIL MARY | Out Of The Theater Reaction!
@GamesPuff,Games Puff,16800.0,95,79691,405,7820,262,10 Best Souls-Like Co-Op Games
@Mobah,Mobah,44000.0,95,273398,1841,16010,147,SUMMERTIME SAGA [v21.0.0 wip.6859] ATUALIZAÇÃO EM PORTUGUÊS (Android|PC)
@AventurasdeKai,Aventuras de Kai,14600.0,95,105410,736,7627,3260,"ASTROBOTANICA: NOVO SURVIVAL ALIENÍGENA EM MUNDO ABERTO COM CRAFT, BASE E CONSTRUÇÃO!"
channel/UCs_tLP3AiwYKwdUHpltJPuA,GOTO Conferences,1050000.0,95,116264,767,8356,2145,What Really Happens When You Hit a Breakpoint • Sy Brand • GOTO 2025
channel/UCpWXCzwtRk17C8ZhmNNH67A,Marc Corredera Reviews,348000.0,94,863675,6462,51157,1012,Samsung Galaxy S26 Ultra vs iPhone 17 Pro Max  | ¿CUÁL ES MEJOR?
@Molusqueti,Molusqueti,740000.0,93,175995,1033,21650,4072,TU PRECISA CONHECER ESSE JOGO!! - Harmless Lies #1
channel/UC8LeXCWOalN8SxlrPcG-PaQ,midudev,753000.0,93,7400168,57409,639263,1227,"Curso Inteligencia Artificial para Programadores en 2026 (Conceptos, Herramientas, Claude Code)"
@tiny.farming,Tiny Farming,305000.0,93,17085017,89757,2309079,1585,DIY Construction Science Project - Building a Strong Fish House and Water Well with Brick and Cement
@FORGOTTENHISTORYCHANNEL,FORGOTTEN HISTORY,1080000.0,91,4625542,29076,375165,1008,Operation Mongoose: America’s Secret Insect Warfare Program
@primevideoaunz,Prime Video AU & NZ,1010000.0,91,46274226,133370,4537514,189,Omni-Man's Viltrumite Backstory | Invincible Season 4 | Prime Video
@eltio_resumen,El Tío Resumen,1110000.0,90,5774244,48379,318245,1150,UNA CHICA poco AGRACIADA es ABANDONADA Y RICULIZADA pero hace que TODAS SE ARREPIENTAN | RESUMEN
@vabovj8888,VABO music,,90,4477107,7000,622322,235,"Enrique Iglesias, Cazzu - MUCHAS COSAS ✅ (Oficiall video - EN VIVO) NUEVO 2026"
@DIYModaFashion,Ider Alves - DIY Moda Fashion ,3790000.0,90,8284832,3260,5326518,534,10+ Garden Ideas That Look Amazing but Are So Easy (DIY Garden Ideas)
@sydneycummingshoudyshell,Sydney Cummings Houdyshell,3180000.0,90,8284951,75097,345237,2281,Bodyweight HIIT Workout for All Fitness Levels! Start Your Transformation TODAY!
@MKIceAndFire,MKIceAndFire,4650000.0,89,24382307,136045,5961463,26448,RESIDENT EVIL 9 REQUIEM Gameplay Walkthrough FULL GAME [4K 60FPS PS5 PRO] - No Commentary
@sciencechannel,Science Channel,5320000.0,87,7867431,34783,1308118,2065,Breakfast Time! How All Your Favorites Are Made! | How It's Made | Science Channel
@fgw,fgw,13300.0,87,82579,107,45011,10254,CULT OF THE LAMB: WOOLHAVEN Gameplay Walkthrough FULL GAME (PC 4K 60FPS) - No Commentary
@kaijuanim,KAIJU,533000.0,87,11443944,89001,680240,4995,🌎REENCARNÓ como un DRAGÓN BEBE pero TERMINA EVOLUCIONANDO en un MONSTRUO de RANGO S (1-8)
@pukujiji,プク太の世界時事ニュース,,87,15189761,158089,409102,850,【女性達のボイコット実る】2年越しの騒動ついに決着！ダーツ界がトランス選手の女子大会への出場を禁止へ。これまで対戦を拒否されていたトランス選手がお気持ちを表明する
@AlexanderWeiss1,Alexander Weiss,,86,1869154,15272,90559,5499,Gauss — Das Geheimnis des größten Mathematikers aller Zeiten
@OfficialMediaKnights,The Media Knights,505000.0,86,12133618,125926,422792,4619,STRANGER THINGS SEASON 5 EPISODE 8 FINALE REACTION – GOODBYE...FOR NOW! – REVIEW
@VestígiosSagradosYT,Vestígios Sagrados,,86,5672130,14019,1470347,4166,Como Era a Comida na Época da Bíblia — 2.000 Anos Atrás
@fishjellyfilmreviews,Fish Jelly Film Reviews,,84,1295767,11386,56030,1855,MELANIA Documentary Review
@Shirrako,Shirrako,2560000.0,84,5440917,45546,385237,30427,RESIDENT EVIL 9 REQUIEM New Gameplay Walkthrough Demo (4K 60FPS)
@TopDIYMachinery,Top DIY Machinery,219000.0,84,12382339,49776,3862157,1100,Burglar Burns House | DIY Mini Fireproof Cement House Construction Science Project
@tomatostrash,Tomato's Trash,129000.0,83,1537377,17666,31276,13621,creating a gun that shoots a googolplex of bullets so i can slay every goblin at once (SULFUR)
@simply-explained1,Simply Explained,12300.0,83,4814465,3774,2168072,725,Why Do Truck Drivers Leave Engines Running All Night
@Mat_Builds,Mat Builds,17000.0,82,608204,2926,105783,854,I Sell This Bench Year Long
@elsentidodelhumorproducciones,El Sentido del Humor Producciones,423000.0,82,7738338,51612,2773773,2142,Luis Slimming en el Festival de Las Condes 2026 | Show Completo
@investwithcorey,Invest With Corey,95000.0,81,1329311,15794,41574,899,Top 5 Stocks To Buy January 2026
@Showbiz,Showbiz,32000.0,80,488527,5828,13544,1209,🚨 NOVEDADES y VERSIÓN 5.4 con IBRAHIMOVIC y LIGA MASTER | eFootball 2026 🚨
@MxPlay_Oficial,MxPlay,113000.0,79,16562,198,813,2659,GLOBAL RESCUE - GAMEPLAY PC | NOVO JOGO DE SIMULAÇÃO E ESTRATÉGIA DE EMERGÊNCIAS!
@marshallstannus,Marshall Stannus,,79,1212908,8471,101139,1826,Bridgerton Season 4 Part 1 is here… and it’s awesome
@oliverojostristes,Oliver OjosTristes,45400.0,78,329815,2992,23559,2629,Un yandere no humano | Nightbound | Gameplay en español
@nohewivlogs,Nohewi,614000.0,78,3597917,43613,112444,2397,🇺🇸 Elaia deja la UNIVERSIDAD? 🎓 este es su TRABAJO AHORA 🙌  compras en TARGET 🛒 VLOG
@TheInstituteOfArtAndIdeas,The Institute of Art and Ideas,733000.0,78,3264173,21638,613702,1195,"How liberals monetized trauma | Catherine Liu on Marx, Trump, and identity politics"
@Comedyshow-i7g,Comedy SHOW,8700.0,78,1764619,20047,84564,8049,"[New] Yes, Dear 2026 | On Your Marks, Get Set, Mow | Full Episodes Best American Sitcom Comedy"
@TheOntarioGardener,TheOntarioGardener,11100.0,77,47430,581,1502,1947,Hoagie Shack! - Solo Play PlateUp! I Part 01 #sandwhiches  #theontariogardener #plateup #update
@Luderking,Luderking Joga,264000.0,77,862010,8010,73722,1101,Tá Lançando! TUDO O QUE VOCÊ PRECISA SABER DO NOVO SEVEN DEADLY SINS ORIGIN (7DS Origin)
@HollowPoiint,Hollow,5160000.0,77,20374878,243448,1384685,8306,Resident Evil Requiem - Part 1 - A NEW HORROR BEGINS..
@VismaiFood,Vismai Food,4990000.0,77,12904536,138533,1012205,218,మాంసం లేకుండా ఇంత రుచి? అసలైన హైదరాబాద్ ప్లెయిన్ దమ్ బిర్యానీ రెసిపీ | Hyderabadi Plain Dum Biryani
@bossmanmusic_w56,Bossman Music,,76,2252994,14136,319524,251,Sharem Password_Bossman Music_Official Music Audio 2026
@renangoncalvesrg,Renan Gonçalves - Treino em casa,,76,2685042,29805,107525,1523,"TABATA 20 MIN para SECAR a barriga em casa | sem equipamentos, sem repetições"
@BreakingBench1,Breaking Bench,,75,5043000,2818,1684392,881,If You Hear This on the Phone… Say These 3 WORDS & Hang Up Immediately
@qricorecetas,Q'Rico recetas,685000.0,74,3691391,15934,671825,305,La mejor ensalada de repollo y piña cremosa con pocos ingredientes y lista en minutos 🍍
@CanalOldGamer,OLD GAMER,14300.0,72,209207,482,36298,505,13 jogos Beat’em Up que resgatam a alma dos fliperamas
channel/UCXjOnlyVRlE1nEy-Yz59CCA,Kerani Hembrom,53500.0,72,2558194,3844,494015,254,Pan Dili Biri Dili | New Santhali AI Cover Song 2026 | Kerani Hembrom
@ForeverNenaa,Forever Nenaa,3190000.0,72,20632753,220537,1442029,2623,Cain has gone CRAZY!! | The Amazing Digital Circus [Episode 8 Reaction]
@DXstar-3014,DX star,29700.0,71,924673,9920,67499,134,Summertime Saga v21.0.0 WIP.6859 – New Tech Update Is Here!
@TheHistoryGuyChannel,The History Guy: History Deserves to Be Remembered,1640000.0,71,4384195,51757,463265,1628,The History of Aluminum
@TimelineChannel,Timeline - World History Documentaries,5840000.0,71,4761908,32575,355760,3158,Uncensored Footage From The My Lai Massacre: Vietnam War's Darkest Day
@ShirocoryGames,しろこりGames / インディーゲーム専門Vtuber,11600.0,70,22965,234,2185,2392,【MOUSE：やとわれの探偵】#1 ネズミ探偵が闇の陰謀に挑む…ジャズと銃で暴れまくるFPS！初見実況
@Saqahayangmovie,Saqahayang Movie,,69,40900929,520988,1719636,1572,AKHIRNYA FILM YANG SELAMA INI KALIAN REQUEST SUDAH ( HD ) - Send Help 2026
@世界の奇妙なミステリーゆっくり,世界の奇妙なミステリー【ゆっくり解説】,,69,1083534,11437,94362,1823,【総集編】眠る前に聞きたい!! 謎に満ちた 世界の謎21選【ゆっくり解説】
@CardioAbdomen,Cardio Abdomen,1720000.0,69,2090524,13771,136937,1281,RUTINA DE CARDIO PARA ADELGAZAR TODO EL CUERPO | CARDIO QUEMAGRASA SIN SALTOS
channel/UCyU5wkjgQYGRB0hIHMwm2Sg,Syntax,474000.0,69,1928410,16427,190332,1965,"Local AI Explained | Hardware, Setup and Models"
@3CFilms,3C Films,,68,9523537,126528,603165,912,Every Reference In The Scary Movie 6 Trailer
@Jevelu,Jevel,880000.0,66,2055688,30620,65123,847,FINALLY 😍 BGMI/PUBG  4.2  UPDATE IS HERE | TIPS & TRICKS | JEVEL COMMENTARY | #jevel #newupdate
@PopHitsCentral3501,Pop Hits Central,,66,1257629,7072,303597,8397,Top Songs Cover HotHit Music Pop Playlist Best Song 🎙✨ 2026
@CupcakeAisyah,Cupcake Aisyah,,66,7571690,101850,485560,3269,trying khairul aming's restaurant for the first time!!!! (rembayung) | january diaries 💌
@ADVgamer-neco,観るアドベンチャーゲーム専門処@ネコ,13000.0,66,96551,844,14958,3219,【パラノマサイト伊勢人魚物語】バッドエンド＆全エンディングまとめ（※トゥルーエンドを含むためネタバレ注意）
@kitandkrysta,Kit & Krysta,111000.0,66,1367195,17513,46355,3238,Star Fox Direct 5.6.2026 - REACTION
@claude,Claude,325000.0,66,12785728,53306,5086669,626,"Put Claude to work on your computer, from anywhere"
@BreakfastAllDay,Breakfast All Day movie reviews,40800.0,66,657541,8780,33415,596,WUTHERING HEIGHTS Out of the Theater Reaction! | Margot Robbie | Jacob Elordi
@marvinsamaco,Marvin Samaco,,66,4638006,67903,126989,2908,TRAVELING TOKYO IN 2026: Shibuya Streets & Harajuku Style
@TheAwardsContender,The Awards Contender,84300.0,66,2006083,26370,133961,1815,Why Michael B. Jordan Won the Oscar
@ZaruWork,ザルワーク,78300.0,65,1426785,15863,135362,1691,【Citadelum】 ゆっくり栄える古代ローマ 総集編【ゆっくり実況】
@IlloJuan_,IlloJuan,2820000.0,64,51466580,754858,2019844,12868,ESTO HUELE A JUEGAZO PARA EL RECUERDO 🔦 - Resident Evil: Requiem #1
@UnearthedHistoryChannel,Unearthed History - Archaeology Documentaries,286000.0,64,4452953,43583,257447,3067,Do These Cryptic Symbols Link The Knights Templar To Jesus' Bloodline?
@MoviesAndMunchies,Movies And Munchies,82000.0,64,717675,8377,71241,389,War Machine (2026) Netflix Review
@Katholika,Katholika,,64,24619,60,17980,329,Nossa Senhora de Fátima 2026 - Documentário
channel/UC9ESQKs98jVWjjUEWkvTMvA,WsCube Cyber Security,437000.0,63,473808,2848,141352,1297,Complete Networking Tutorial 2026 🚀 | Beginner to Advanced (Cybersecurity Focus)
@NinjaPlayerCN,Ninja Player,33400.0,63,329375,1905,44970,1282,Top 25 Best PS4 ACTION ADVENTURE Games (Updated 2026)
@MisPropiasFinanzas,Mis Propias Finanzas,438000.0,63,1881242,19517,146413,2350,Cómo Invertir tu Primer Millón de Pesos en el 2026 (3 Opciones Diferentes)
